1582,ISAF,Alexander Forbes Aggressive Fund of Funds ,20100630,5.29,3.49,7.55,0.00,10.15,15.78,3.08,3.9,0,0,1.66
1581,ISBF,Alexander Forbes Balanced Fund of Funds ,20100630,6.88,4.27,9.81,0.00,5.15,27.59,11.07,3.84,0,0,6.25
1583,ISCF,Alexander Forbes Conservative Fund of Funds ,20100630,4.01,1.95,5.72,0.00,0.9,32.17,14.9,19.78,0,0,8.48
1584,ISMF,Alexander Forbes Moderate Fund of Funds ,20100630,3.87,1.9,5.53,0.00,3.06,26.74,11.03,19.73,0,0,6.73
1665,AFMA,Alexander Forbes Moderately Aggressive Fund of Funds ,20100630,5.77,3.55,8.24,0.00,8.03,21.56,7.76,3.95,0,0,4.21
331,AGBF,Allan Gray Balanced Fund A,20100630,14.83,6.57,24.2,0.01,0.3,9.62,20.87,18.87,0,0,1.04
1454,AGBD,Allan Gray Bond Fund A,20100630,0,0,0,0.00,0,85.09,14.91,0,0,0,0
244,AGEF,Allan Gray Equity Fund A,20100630,31.34,12.56,46.47,0.00,0,0,4.05,0,0,0,0
750,AGMF,Allan Gray Money Market Fund A,20100630,0,0,0,0.00,0,0,100,0,0,0,0
1263,AGOF,Allan Gray Optimal Fund A,20100630,42.1,17.5,28.57,0.00,0.2,0,18.1,0.3,0,0,0
543,AGSF,Allan Gray Stable Fund A,20100630,6.35,4.05,10.46,0.00,0.17,6.86,49.2,18.35,0,0,1.54
1508,AGOE,Allan Gray-Orbis Global Equity Feeder Fund A,20100630,0,0,0,0.00,0,0,0.03,99.97,0,0,0
863,AGGF,Allan Gray-Orbis Global Fund of Funds A,20100630,0,0,0,0.00,0,0,0.45,93.1,0,0,6.45
2284,AGOO,Allan Gray-Orbis Global Optimal Fund of Funds ,20100630,0,0,0,0.00,0,0,1.51,85.08,0,0,13.4
2199,AEBF,Alphen Equity Builder Fund A,20100630,38.85,20.73,34.86,0.00,3.63,0.8,1.92,0,0,0,0
2095,MACF,Amity Conserver Fund of Funds ,20100630,5.65,-0.98,11.35,0.00,1.57,19.86,44.42,12.95,0.97,0,2.6
2096,MAFG,Amity Flexible Growth Fund of Funds ,20100630,19.89,14.66,35.76,0.00,2.88,7.84,1.89,18.21,0.63,0,0.36
2097,MAPF,Amity Prudent Fund of Funds ,20100630,10.62,6.45,20.36,0.01,3.53,24.68,16.54,13.88,2.89,0,1.01
272,NRFB,Analytics Balanced Fund of Funds A,20100630,0,10.47,54.03,0.00,11.9,0,5.08,9.84,0,0,5.06
1261,FFCA,Analytics Cautious Fund of Funds A,20100630,0,2.24,11.76,0.00,5.37,15.51,33.69,7.83,0,0,4.1
273,NRFF,Analytics Flexible Fund of Funds A,20100630,0,3.1,15.98,0.00,0,0,1.7,72.6,0,0,6.61
557,FEWS,Analytics Managed Equity Fund A,20100630,0,15.86,81.79,0.00,0,0.15,2.85,1.02,0,0,0
